tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;AUDIENCIA DE TRAMITE;;(130012502001) DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE BOLIVAR
;;;AUDIENCIA RESOLUCION DE OBJECIONES NEGOCIACION;;(110110102001) DESPACHO 001 DE LA SALA JURISDICCIONAL DISCIPLINARIA NIVEL SUPERIOR
;;;AUDIENCIA RESOLUCION DE OBJECIONES LIQUIDACION PATRIMONIAL;;(110014103001) JUZGADO 001 DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA
;;;AUDIENCIA RESOLUCION DE OBJECIONES REORGANIZACION;;(110014099001) JUZGADO 001 MUNICIPAL DE BOGOTA D.C.
;;;AUDIENCIA RESOLUCION DE OBJECIONES LIQUIDACION;;(110014003001) JUZGADO 001 CIVIL MUNICIPAL DE BOGOTA
;;;AUTO INTERLOCUTORIO;;(110013185001) JUZGADO 001 DE MENORES DEL CIRCUITO DE BOGOTA
;;;AVALUO DEL BIEN;;(130012333001) DESPACHO 001 DEL TRIBUNAL ADMINISTRATIVO DE BOLIVAR
;;;CLIENTE NOTIFICADO;;(110013187001) JUZGADO 001 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE BOGOTA
;;;CLIENTE NOTIFICADO;;(110110204001) DESPACHO 001 DE LA SALA DE CASACION PENAL DE LA CORTE SUPREMA DE JUSTICIA
;;;CONSTANCIA DE NO ACUERDO;;(130013331001) JUZGADO 001 ADMINISTRATIVO DE CARTAGENA
;;;CONVALIDACION DE ACUERDO PRIVADO;;(110013105001) JUZGADO 001 LABORAL DE BOGOTA
;;;CUMPLE REQUISITOS;;(110014071001) JUZGADO 001 PENAL MUNICIPAL PARA ADOLESCENTES CON FUNCION DE CONTROL DE GARANTIAS DE BOGOTA
